UTC,Open,High,Low,Close,Volume
2021-11-13,1862.208,1868.568,1845.088,1864.448,0.0
2021-11-14,1869.364,1869.364,1865.154,1865.438,0.82394
2021-11-15,1865.448,1870.468,1856.318,1862.258,41.040225
2021-11-16,1862.191,1877.118,1849.328,1850.208,40.355095
2021-11-17,1850.208,1867.958,1849.434,1866.378,35.17977
2021-11-18,1866.374,1870.814,1854.948,1859.448,42.079115
2021-11-19,1859.464,1865.668,1842.869,1845.175,56.7627
2021-11-20,1859.464,1865.668,1842.869,1845.175,0.0
2021-11-21,1846.534,1847.048,1838.648,1844.878,0.8970899999999999
2021-11-22,1844.888,1848.984,1802.144,1808.928,46.658095
2021-11-23,1808.908,1812.318,1781.8590000000002,1790.718,44.482749999999996
2021-11-24,1790.708,1796.285,1778.398,1789.528,37.911715
2021-11-25,1789.518,1794.968,1787.718,1792.528,14.35291
2021-11-26,1792.548,1815.408,1780.358,1792.665,38.04772
2021-11-27,1792.548,1815.408,1780.358,1792.665,0.0
2021-11-28,1790.195,1795.5649999999998,1775.563,1795.425,1.595081
2021-11-29,1795.405,1799.258,1781.008,1786.685,37.79985
2021-11-30,1786.685,1808.618,1769.7579999999998,1773.098,51.15018
2021-12-01,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-02,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-03,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-04,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-05,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-06,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-07,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-08,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-09,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-10,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-11,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-12,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-13,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-14,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-15,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-16,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-17,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-18,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-19,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-20,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-21,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-22,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-23,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-24,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-25,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-26,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-27,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-28,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-29,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-30,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2021-12-31,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2022-01-01,1786.685,1808.618,1769.7579999999998,1773.098,0.0
2022-01-02,1828.604,1831.624,1827.898,1828.354,0.69291
2022-01-03,1828.294,1831.458,1798.189,1804.028,36.601214999999996
2022-01-04,1804.024,1816.688,1798.388,1813.788,37.423574
2022-01-05,1813.815,1829.584,1808.168,1810.178,42.011955
2022-01-06,1810.228,1811.438,1786.288,1791.278,49.875505
2022-01-07,1791.255,1798.515,1782.495,1795.808,40.953365
2022-01-08,1791.255,1798.515,1782.495,1795.808,0.0
2022-01-09,1793.955,1796.098,1793.685,1795.048,0.781815
2022-01-10,1795.048,1802.848,1790.235,1801.088,42.463015
2022-01-11,1801.088,1823.228,1801.055,1820.588,40.464925
2022-01-12,1820.588,1827.984,1814.578,1825.168,39.03577
2022-01-13,1825.168,1828.058,1812.228,1820.728,37.3278
2022-01-14,1820.728,1829.048,1814.578,1817.418,40.043225
2022-01-15,1820.728,1829.048,1814.578,1817.418,0.0
2022-01-16,1817.044,1819.254,1815.768,1816.268,0.7955
2022-01-17,1816.268,1823.088,1813.0,1818.938,20.556269999999998
2022-01-18,1818.938,1822.644,1805.658,1814.158,51.783777
2022-01-19,1814.168,1843.318,1810.143,1838.414,47.17497
2022-01-20,1838.424,1847.804,1835.808,1838.808,50.070615000000004
