Date,Open,High,Low,Close,Volume,Returns,Volatility_30
2016-05-10,1262.42,1269.459,1256.809,1264.828,120.09565,0.0019064228622017356,13.231581437368689
2016-05-11,1264.858,1279.0800000000002,1264.809,1277.59,100.43661,0.010039346156579382,13.231140621413672
2016-05-12,1277.589,1280.87,1261.5890000000002,1266.7479999999998,104.85253,-0.008522504182939667,13.465495699782995
2016-05-13,1266.728,1276.268,1262.879,1272.459,94.3446,0.004498262355033038,13.109569266428275
2016-05-14,1266.728,1276.268,1262.879,1272.459,0.0,0.0,12.748231942910937
2016-05-15,1271.43,1275.2289999999998,1270.929,1273.769,3.90208,0.0010289731442621455,12.731734433706233
2016-05-16,1273.798,1288.659,1270.948,1275.101,101.61671,0.0010451691308337326,12.727679043745749
2016-05-17,1275.101,1282.191,1269.0690000000002,1279.369,107.86219,0.003341596473216087,12.732627257218764
2016-05-18,1279.37,1280.36,1255.019,1260.408,116.48539,-0.01493150956027642,13.398067634864688
2016-05-19,1260.408,1261.219,1243.789,1256.731,110.19593,-0.0029215729567942774,12.596660991632474
2016-05-20,1256.79,1260.199,1248.758,1251.568,88.37051,-0.004116739903560373,12.613735987254234
2016-05-21,1256.79,1260.199,1248.758,1251.568,0.0,0.0,12.582188574100877
2016-05-22,1250.93,1252.48,1248.759,1252.03,3.4345800000000004,0.00036906884032035574,11.861215196895696
2016-05-23,1252.029,1255.99,1243.098,1249.449,104.25303,-0.0020635799188420266,11.88444813093434
2016-05-24,1249.42,1252.14,1223.258,1225.28,121.34913,-0.019533264826537937,13.22259536626547
2016-05-25,1225.279,1230.12,1217.789,1224.98,106.48902,-0.00024487197399374316,13.153338536408363
2016-05-26,1224.979,1234.142,1218.221,1222.059,91.97989,-0.002387376243181354,13.105437059853427
2016-05-27,1222.06,1223.531,1206.679,1212.2389999999998,90.40535,-0.008068078163346093,13.254468484698501
2016-05-28,1222.06,1223.531,1206.679,1212.2389999999998,0.0,0.0,12.25869578922169
2016-05-29,1212.409,1213.36,1205.729,1207.589,3.81736,-0.0038432530936940304,10.294335059026947
2016-05-30,1207.56,1210.802,1199.732,1209.86,50.0419,0.0018788406026852772,10.344391029277839
2016-05-31,1209.859,1218.158,1208.282,1216.689,89.27131,0.005628584486939262,10.51974228232438
2016-06-01,1216.642,1220.36,1205.909,1213.479,89.66125,-0.0026417942026253837,10.505620144148223
2016-06-02,1213.48,1217.63,1206.9,1207.909,92.9203,-0.004600675170312676,10.531937690114814
2016-06-03,1207.968,1244.68,1207.489,1243.848,79.307159,0.02931903480716923,13.913354432421837
2016-06-04,1207.968,1244.68,1207.489,1243.848,0.0,0.0,13.88418085142861
2016-06-05,1242.879,1248.13,1242.079,1248.089,2.47383,0.0034037811506373865,13.717532910772768
2016-06-06,1248.129,1248.629,1239.9199999999998,1244.802,77.94137,-0.002637100382566286,13.721717414521079
2016-06-07,1244.869,1246.52,1234.7710000000002,1243.87,69.81238,-0.0007489938759067621,13.722118886509097
2016-06-08,1243.87,1266.26,1242.9789999999998,1264.789,79.33548,0.016677822599510818,13.670724977293034
2016-06-09,1264.799,1271.632,1256.761,1265.69,70.50406,0.0007121181705721753,13.661105806527276
2016-06-10,1265.679,1278.09,1264.509,1272.8380000000002,65.56158,0.005631625013927573,13.438180856258969
2016-06-11,1265.679,1278.09,1264.509,1272.8380000000002,0.0,0.0,13.20025514991655
2016-06-12,1275.448,1278.281,1274.3280000000002,1277.588,3.89462,0.0037248722308011947,13.180055243921817
2016-06-13,1277.581,1287.142,1272.352,1282.5700000000002,75.10545,0.0038919522065819314,13.224807429956975
2016-06-14,1282.58,1289.772,1276.228,1284.39,74.38961,0.0014180199963912394,13.227243867317506
2016-06-15,1284.389,1296.749,1278.428,1293.639,76.47915,0.007175279782928805,13.37666488931086
2016-06-16,1293.649,1315.53,1276.902,1281.96,103.94392,-0.00906902048565161,13.627304949991398
2016-06-17,1281.981,1299.441,1276.53,1297.559,80.09405,0.012094650322081488,13.289420401727353
2016-06-18,1281.981,1299.441,1276.53,1297.559,0.0,0.0,13.242001301913684
2016-06-19,1289.379,1292.219,1280.9789999999998,1289.26,5.98347,-0.006416396719343632,13.336643573393452
2016-06-20,1289.17,1291.11,1277.969,1287.889,78.05007,-0.0010639665221792978,13.347060934591376
2016-06-21,1287.89,1294.189,1264.478,1268.95,107.14606,-0.014814656991442007,14.108588631766612
2016-06-22,1268.949,1270.559,1259.52,1262.629,88.0983,-0.00499373168741493,14.179287629726357
2016-06-23,1262.629,1271.839,1250.179,1267.2510000000002,67.27062000000001,0.0036539323149276893,12.887601595874395
2016-06-24,1267.251,1358.229,1264.029,1315.43,92.1357,0.03731362089555331,16.60293515841116
2016-06-25,1267.251,1358.229,1264.029,1315.43,0.0,0.0,16.557790159455703
2016-06-26,1321.238,1335.289,1321.138,1332.669,5.7127300000000005,0.013020089908161689,16.5212635108707
2016-06-27,1332.609,1333.61,1317.629,1324.562,90.83066,-0.006101859532550381,16.716092052190717
2016-06-28,1324.56,1325.91,1305.458,1313.929,97.30821,-0.008059953634436115,16.908648052107367
2016-06-29,1313.93,1327.802,1313.298,1315.918,79.81706,0.0015126358143626123,16.910739494598985
2016-06-30,1315.989,1326.629,1312.789,1321.72,94.04453,0.004399397762691456,16.89662642445312
2016-07-01,1321.719,1344.48,1320.518,1340.511,65.53737,0.014116965859461192,17.1276032273268
2016-07-02,1321.719,1344.48,1320.518,1340.511,0.0,0.0,16.994138269209866
2016-07-03,1341.38,1344.898,1335.941,1342.759,2.54506,0.0016755678898832498,15.126626895283673
2016-07-04,1342.8,1357.439,1340.32,1349.49,47.63839,0.00500029085314349,15.122784539278483
2016-07-05,1349.489,1364.64,1338.039,1362.549,80.82996,0.009630466914791531,15.254454469872636
2016-07-06,1362.56,1375.081,1359.759,1366.279,88.55271,0.0027337760555245184,15.163439150765502
2016-07-07,1366.28,1370.692,1350.789,1360.9209999999998,81.95687,-0.003929309836993459,15.261356793939482
2016-07-08,1360.929,1370.34,1335.419,1365.778,71.556375,0.003562553209576394,14.702939203182208
2016-07-09,1360.929,1370.34,1335.419,1365.778,0.0,0.0,14.712164790346312
2016-07-10,1367.578,1375.02,1366.83,1369.839,3.01842,0.002968985046590272,14.683706659010017
2016-07-11,1369.821,1371.219,1350.83,1354.2279999999998,83.32215000000001,-0.011461664416275172,15.215876262047756
2016-07-12,1354.3,1357.668,1330.312,1333.789,83.30673,-0.015207786201221783,16.005445793909264
2016-07-13,1333.79,1346.648,1327.548,1345.458,80.70953,0.00871071146741943,16.13017152093849
2016-07-14,1345.579,1347.061,1320.201,1335.299,94.18055,-0.007579238723848691,16.348088429572407
2016-07-15,1335.319,1338.63,1322.498,1336.629,75.99574,0.000995535890073241,16.252792156203117
2016-07-16,1335.319,1338.63,1322.498,1336.629,0.0,0.0,15.970300057951292
2016-07-17,1332.618,1334.4299999999998,1329.888,1332.699,3.02051,-0.002944563455351414,15.686804767407228
2016-07-18,1332.808,1335.47,1323.461,1328.788,69.18244,-0.0029389606750673445,15.724386907633695
2016-07-19,1328.769,1334.926,1325.579,1332.868,64.43334,0.0030657629653316238,15.58617023944742
2016-07-20,1332.868,1338.3490000000002,1312.539,1312.778,79.42541,-0.015187508958126568,16.279368003791234
2016-07-21,1312.758,1333.83,1310.759,1332.29,86.5418,0.014753763559871043,16.095036658536504
2016-07-22,1332.329,1333.41,1319.6280000000002,1321.688,73.86185,-0.00798955861460549,16.224964392880395
2016-07-23,1332.329,1333.41,1319.6280000000002,1321.688,0.0,0.0,16.217838037723094
2016-07-24,1322.679,1323.29,1320.169,1323.1999999999998,2.08602,0.0011433377630428658,12.13131636188022
2016-07-25,1323.189,1323.71,1311.971,1316.029,68.67904,-0.005434176152799588,12.240701910018716
2016-07-26,1316.119,1324.4879999999998,1313.759,1319.029,55.60195,0.002276990712289168,11.629634706598074
2016-07-27,1318.999,1342.418,1315.762,1339.62,63.27821,0.015490131809484425,12.361220430995056
2016-07-28,1339.628,1345.528,1332.439,1335.989,73.80821,-0.0027141501086393504,12.139275234973901
2016-07-29,1336.041,1354.998,1328.462,1350.0780000000002,86.18717,0.010490527011420267,12.475047613849005
2016-07-30,1336.041,1354.998,1328.462,1350.0780000000002,0.0,0.0,12.431494275257124
2016-07-31,1349.338,1351.04,1346.999,1349.039,2.61116,-0.0007698814473916132,11.767110397079325
2016-08-01,1349.039,1354.849,1346.229,1352.72,68.46445,0.0027248931363837215,11.789337757131161
2016-08-02,1352.698,1367.198,1347.108,1363.019,72.91019,0.00758471220779162,11.97213365517977
2016-08-03,1363.019,1366.45,1354.1809999999998,1356.128,65.81807,-0.005068512112342657,11.998814220338662
2016-08-04,1356.14,1364.948,1349.1,1360.129,71.75652,0.002945967847395521,11.693031381803513
2016-08-05,1360.129,1364.649,1334.718,1335.128,73.94463,-0.018552380785063525,12.823997725031699
2016-08-06,1360.129,1364.649,1334.718,1335.128,0.0,0.0,12.790369758886136
2016-08-07,1335.348,1335.348,1331.349,1333.469,2.9414100000000003,-0.0012433501302169464,12.728919623012763
2016-08-08,1333.469,1338.249,1329.868,1335.959,64.62615,0.0018655687451933395,12.750548156518777
2016-08-09,1335.929,1342.898,1330.579,1341.789,56.79973,0.004354412149191688,12.791784273071375
2016-08-10,1341.789,1357.16,1340.678,1347.499,69.11425,0.004246483515726192,12.44785690742355
2016-08-11,1347.508,1353.279,1335.728,1339.3390000000002,62.03464,-0.0060740730093524625,11.750740787699836
2016-08-12,1339.339,1356.339,1333.309,1335.318,63.13582,-0.003006742942606573,11.495924004153895
2016-08-13,1339.339,1356.339,1333.309,1335.318,0.0,0.0,11.28407177158904
2016-08-14,1338.029,1339.429,1336.579,1338.979,2.8586,0.002737917506517182,11.30869618068502
